DB00001,65 °C,Soluble,3.7,,,,,,,,,,,,,,,,,,,,,
DB00002,"61 °C (FAB fragment), 71 °C (whole mAb)",,8.48,-0.413,,,,,,,,,,,,,,,,,,,,
DB00003,67 °C,,4.58,-0.083,,,,,,,,,,,,,,,,,,,,
DB00004,,,5.45,-0.301,,,,,,,,,,,,,,,,,,,,
DB00005,71 °C (whole mAb),,7.89,-0.529,,,,,,,,,,,,,,,,,,,,
DB00006,,,,,,,,,,,,,,,,,,,,,,,,
DB00007,150-155,,,,9.6,,,,,,,,,,,,,,,,,,,
DB00008,61 °C,,5.99,,,,,,,,,,,,,,,,,,,,,
DB00009,60 °C,,7.61,-0.516,,,,,,,,,,,,,,,,,,,,
DB00010,,,9.99,-0.330,,,,,,,,,,,,,,,,,,,,
DB00011,61 °C,,5.99,-0.336,,,,,,,,,,,,,,,,,,,,
DB00012,53 °C,,8.75,-0.188,,,,,,,,,,,,,,,,,,,,
DB00013,76 °C at pH 4.5,,8.66,-0.466,,,,,,,,,,,,,,,,,,,,
DB00014,,Soluble,,,,-2,,,,,,,,,,,,,,,,,,
DB00015,60 °C,,6.86,-0.435,,,,,,,,,,,,,,,,,,,,
DB00016,53 °C,,8.75,,,,,,,,,,,,,,,,,,,,,
DB00017,,,8.86,-0.537,,,,,,,,,,,,,,,,,,,,
DB00018,61 °C,,5.99,,,,,,,,,,,,,,,,,,,,,
DB00019,60 °C,,,,,,,,,,,,,,,,,,,,,,,
DB00020,,,5.05,,,,,,,,,,,,,,,,,,,,,
DB09532,,,,,,,,,,,,,,,,,,,,,,,,
DB00022,61 °C,,5.99,,,,,,,,,,,,,,,,,,,,,
DB00023,,,4.67,0.059,,,,,,,,,,,,,,,,,,,,
DB00024,55 °C,,7.50,-0.330,,,,,,,,,,,,,,,,,,,,
DB00025,,,6.97,-0.533,,,,,,,,,,,,,,,,,,,,
DB00026,,,5.46,-0.412,,,,,,,,,,,,,,,,,,,,
DB00027,229 °C,,,,,,,,,,,,,,,,,,,,,,,
DB00028,"61 °C (FAB fragment), 71 °C (whole mAb)",,8.13,-0.331,,,,,,,,,,,,,,,,,,,,
DB00029,60 °C,,7.61,-0.516,,,,,,,,,,,,,,,,,,,,
DB00030,81 °C,,,,,,,,,,,,,,,,,,,,,,,
DB00031,60 °C,,7.61,-0.528,,,,,,,,,,,,,,,,,,,,
DB00032,55 °C,,8.44,-0.063,,,,,,,,,,,,,,,,,,,,
DB00033,61 °C,,9.54,-0.823,,,,,,,,,,,,,,,,,,,,
DB00034,,100 mg/ml,5.99,-0.336,,,,,,,,,,,,,,,,,,,,
