DB00001,,
DB00002,,
DB00003,,
DB00004,,
DB00005,,
DB00006,2180.2853,2178.985813062
DB00007,1209.3983,1208.645462232
DB00008,,
DB00009,,
DB00010,,
DB00011,,
DB00012,,
DB00013,,
DB00014,1269.4105,1268.641439486
DB00015,,
DB00016,,
DB00017,,
DB00018,,
DB00019,,
DB00020,,
DB09532,,
DB00022,,
DB00023,,
DB00024,,
DB00025,,
DB00026,,
DB00027,1811.253,1810.033419343
DB00028,,
DB00029,,
DB00030,,
DB00031,,
DB00032,,
DB00033,,
DB00034,,
DB00035,1069.22,1068.426955905
DB00036,,
DB00038,,
DB00039,,
DB00040,,
DB00041,,
DB00042,,
DB00043,,
DB00044,,
DB00045,,
DB00046,,
DB00047,,
DB00048,,
DB00049,,
DB00050,1431.038,1429.669818444
DB00051,,
DB00052,,
DB00053,,
DB00054,,
DB00055,,
DB00056,,
DB00057,,
DB00058,,
DB00059,,
DB00060,,
DB00061,,
DB00062,,
DB00063,,
DB00065,,
DB00066,,
DB00067,2140.46,2138.869561874
DB00068,,
DB00069,,
DB00070,,
DB00071,,
DB00072,,
DB00073,,
DB00074,,
DB00075,,
DB00076,,
DB00077,,
DB00078,,
DB00079,,
DB00080,1620.693,1619.71036644
DB00081,,
DB00082,,
DB00083,,
DB00085,,
DB00086,,
DB00087,,
DB00088,,
DB00089,,
DB00090,,
DB00091,1202.635,1201.841368058
DB00092,,
DB00093,,
DB00094,,
DB00095,,
DB00097,,
DB00098,,
DB00099,,
